,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
g_mp[decorators x Pop|TestChangeProb],1.067,0.611,0.527,1.453,0.005,0.003,24491.0,17504.0,1.0
g_mp[cmd x TestDeleteProb|TestInsertionProb],1.067,0.744,0.541,1.447,0.006,0.004,23645.0,16129.0,1.0
g_mp[dict_unpacking x TestChangeProb|TestDeleteProb],1.068,0.672,0.502,1.439,0.005,0.004,24015.0,16640.0,1.0
g_mp[maybe x ChangeParamProb|TestInsertProb],1.068,0.617,0.496,1.433,0.004,0.003,23173.0,16634.0,1.0
g_mp[packages x ChangeParamProb|TestChangeProb],1.068,0.692,0.53,1.437,0.005,0.004,22573.0,16303.0,1.0
g_mp[lazy_import x Pop|TestChangeProb],1.068,0.827,0.52,1.466,0.006,0.004,24816.0,16523.0,1.0
g_mp[yield_from x Elite|RandPert],1.068,0.876,0.549,1.445,0.006,0.005,25362.0,16933.0,1.0
g_mp[immutable_list x Elite|TourSize],1.068,0.786,0.541,1.484,0.006,0.004,24706.0,16568.0,1.0
g_mp[namedtupleutils x Elite|StatemInsertProb],1.068,1.175,0.542,1.454,0.008,0.006,24100.0,16201.0,1.0
g_mp[positional_validation x TestChangeProb|TestDeleteProb],1.068,0.665,0.54,1.45,0.005,0.004,23187.0,17640.0,1.0
g_mp[config x Pop|StatemInsertProb],1.068,0.602,0.514,1.446,0.005,0.003,24994.0,16744.0,1.0
g_mp[da x ChromLen|Crossover],1.068,0.717,0.489,1.436,0.005,0.004,24581.0,16707.0,1.0
g_mp[return_from_generator x TestDeleteProb|TourSize],1.068,0.783,0.53,1.46,0.006,0.004,24498.0,16683.0,1.0
g_mp[validation x ChangeParamProb|TestInsertProb],1.068,0.611,0.516,1.439,0.005,0.003,23646.0,15637.0,1.0
g_mp[config x Elite|RandPert],1.068,0.635,0.526,1.46,0.005,0.003,25021.0,16497.0,1.0
g_mp[validation x TestInsertProb|TestInsertionProb],1.068,0.594,0.49,1.418,0.005,0.003,24977.0,16272.0,1.0
g_mp[cmd x Pop|TestChangeProb],1.068,0.653,0.535,1.457,0.005,0.004,24633.0,15984.0,1.0
g_mp[lazy_import x TestDeleteProb|TourSize],1.068,0.591,0.51,1.439,0.004,0.003,23505.0,17097.0,1.0
