,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
g_mp[signals x Crossover|TestChangeProb],1.075,1.037,0.544,1.468,0.008,0.005,25472.0,17140.0,1.0
g_mp[yield_from x ChromLen|TestInsertProb],1.075,0.844,0.54,1.445,0.006,0.005,23889.0,16892.0,1.0
g_mp[pgzero_frontend x TestInsertProb|TourSize],1.075,0.973,0.507,1.436,0.007,0.005,26008.0,16482.0,1.0
g_mp[s_helpers x Elite|TestInsertionProb],1.075,0.784,0.505,1.452,0.006,0.004,22403.0,16301.0,1.0
g_mp[cmd x TestInsertionProb|TourSize],1.075,0.778,0.548,1.483,0.006,0.004,24544.0,16720.0,1.0
g_mp[immutable_list x RandPert|TestDeleteProb],1.075,0.79,0.515,1.445,0.006,0.004,22788.0,16245.0,1.0
g_mp[dict_unpacking x ChromLen|TestChangeProb],1.075,0.772,0.526,1.474,0.006,0.004,22808.0,16052.0,1.0
g_mp[dict_unpacking x Crossover|RandPert],1.075,0.761,0.487,1.423,0.006,0.004,24130.0,17825.0,1.0
g_mp[py_helpers x Crossover|StatemInsertProb],1.075,0.639,0.548,1.494,0.005,0.003,25244.0,16494.0,1.0
g_mp[journaling x RandPert|TestDeleteProb],1.075,0.731,0.514,1.448,0.005,0.004,26106.0,16443.0,1.0
g_mp[return_from_generator x Pop|TestDeleteProb],1.075,0.804,0.51,1.459,0.006,0.004,23285.0,16444.0,1.0
g_mp[positional_validation x ChromLen|Pop],1.076,0.761,0.521,1.456,0.006,0.004,23179.0,16556.0,1.0
g_mp[python x StatemInsertProb|TestInsertProb],1.076,0.705,0.544,1.479,0.005,0.004,24125.0,17977.0,1.0
g_mp[packages x ChromLen|Elite],1.076,0.643,0.532,1.472,0.005,0.003,24847.0,17078.0,1.0
g_mp[python x Crossover|StatemInsertProb],1.076,0.922,0.51,1.452,0.007,0.005,24389.0,17835.0,1.0
g_mp[cmd x Elite|RandPert],1.076,1.129,0.543,1.463,0.008,0.006,24205.0,17222.0,1.0
g_mp[namedtupleutils x TestDeleteProb|TourSize],1.076,0.933,0.527,1.455,0.008,0.006,24585.0,16644.0,1.0
g_mp[py_helpers x RandPert|TestInsertProb],1.076,0.684,0.549,1.479,0.005,0.004,25254.0,17162.0,1.0
g_mp[journaling x RandPert|StatemInsertProb],1.076,1.022,0.509,1.436,0.008,0.006,24727.0,17073.0,1.0
g_mp[positional_validation x ChromLen|Crossover],1.076,1.061,0.523,1.444,0.008,0.005,23349.0,15799.0,1.0
g_mp[py_helpers x StatemInsertProb|TourSize],1.076,0.793,0.543,1.466,0.006,0.004,23869.0,16842.0,1.0
g_mp[python x Elite|Pop],1.076,0.825,0.503,1.444,0.006,0.004,23999.0,16286.0,1.0
g_mp[da x Elite|TourSize],1.076,0.649,0.522,1.461,0.005,0.003,24523.0,16779.0,1.0
g_mp[yield_from x TestInsertionProb|TourSize],1.076,0.727,0.511,1.452,0.005,0.004,24018.0,16704.0,1.0
g_mp[h_base x Crossover|RandPert],1.076,0.697,0.535,1.484,0.005,0.004,23778.0,16793.0,1.0
g_mp[yield_from x ChangeParamProb|TestChangeProb],1.076,0.662,0.538,1.446,0.005,0.004,24847.0,15669.0,1.0
g_mp[cmd x TestDeleteProb|TourSize],1.076,0.802,0.549,1.469,0.006,0.004,24029.0,16763.0,1.0
g_mp[dict_unpacking x Crossover|StatemInsertProb],1.076,0.684,0.523,1.462,0.005,0.004,24472.0,15680.0,1.0
g_mp[s_helpers x Crossover|StatemInsertProb],1.076,0.838,0.503,1.441,0.006,0.004,25189.0,16485.0,1.0
g_mp[decorators x TestInsertProb|TourSize],1.076,0.882,0.506,1.428,0.006,0.005,22404.0,16175.0,1.0
g_mp[timer x Crossover|TestChangeProb],1.076,1.159,0.529,1.471,0.008,0.006,24092.0,17017.0,1.0
g_mp[positional_validation x ChromLen|TestDeleteProb],1.076,0.776,0.53,1.444,0.006,0.004,24234.0,17070.0,1.0
g_mp[journaling x Elite|StatemInsertProb],1.076,0.705,0.505,1.453,0.005,0.004,23877.0,16624.0,1.0
g_mp[journaling x ChangeParamProb|RandPert],1.076,0.774,0.516,1.445,0.006,0.004,23532.0,16229.0,1.0
g_mp[maybe x Pop|TestChangeProb],1.076,0.803,0.539,1.459,0.006,0.004,23960.0,16994.0,1.0
g_mp[da x TestChangeProb|TestInsertProb],1.076,1.023,0.496,1.416,0.008,0.005,23866.0,16008.0,1.0
g_mp[packages x ChangeParamProb|TestDeleteProb],1.076,0.713,0.506,1.44,0.005,0.004,24137.0,17460.0,1.0
g_mp[decorators x Elite|TestDeleteProb],1.076,0.822,0.524,1.443,0.006,0.004,25825.0,16093.0,1.0
g_mp[packages x ChangeParamProb|Elite],1.076,0.829,0.554,1.479,0.006,0.004,21630.0,16254.0,1.0
g_mp[namedtupleutils x TestChangeProb|TestInsertProb],1.076,0.67,0.517,1.454,0.005,0.004,23609.0,17883.0,1.0
g_mp[packages x RandPert|TestChangeProb],1.076,0.761,0.511,1.445,0.006,0.004,23151.0,16438.0,1.0
g_mp[positional_validation x Elite|RandPert],1.076,0.81,0.524,1.466,0.006,0.004,24810.0,15985.0,1.0
g_mp[decorators x ChromLen|Crossover],1.076,1.069,0.526,1.458,0.008,0.006,25326.0,16067.0,1.0
g_mp[yield_from x StatemInsertProb|TourSize],1.076,1.311,0.543,1.468,0.01,0.007,24961.0,16261.0,1.0
g_mp[py_base x TestDeleteProb|TourSize],1.076,0.986,0.527,1.458,0.008,0.006,25447.0,16847.0,1.0
g_mp[packages x ChangeParamProb|ChromLen],1.076,0.689,0.519,1.446,0.005,0.004,24716.0,16843.0,1.0
g_mp[maybe x StatemInsertProb|TestChangeProb],1.076,0.608,0.523,1.473,0.005,0.003,24347.0,16296.0,1.0
g_mp[signals x ChangeParamProb|TestInsertProb],1.076,0.88,0.506,1.423,0.006,0.004,22538.0,17094.0,1.0
g_mp[cmd x ChromLen|Elite],1.076,0.69,0.53,1.463,0.005,0.004,22876.0,16418.0,1.0
g_mp[maybe x ChromLen|RandPert],1.076,0.808,0.543,1.457,0.006,0.004,23595.0,15993.0,1.0
g_mp[dict_unpacking x RandPert|TestInsertProb],1.076,0.819,0.533,1.465,0.006,0.004,23570.0,16186.0,1.0
g_mp[signals x TestChangeProb|TourSize],1.076,0.69,0.501,1.458,0.005,0.004,22983.0,17054.0,1.0
g_mp[py_base x Crossover|Pop],1.076,0.651,0.545,1.47,0.005,0.004,23327.0,16774.0,1.0
g_mp[h_base x ChromLen|TestInsertionProb],1.076,0.758,0.51,1.449,0.006,0.004,22951.0,17085.0,1.0
g_mp[timer x TestChangeProb|TestInsertionProb],1.076,0.774,0.52,1.429,0.006,0.004,23520.0,16732.0,1.0
g_mp[timer x Crossover|TourSize],1.076,0.77,0.508,1.462,0.006,0.004,23540.0,16161.0,1.0
g_mp[yield_from x TestChangeProb|TestDeleteProb],1.076,0.793,0.544,1.463,0.006,0.004,26042.0,16535.0,1.0
g_mp[config x Crossover|TestInsertionProb],1.076,0.834,0.535,1.47,0.007,0.005,24230.0,16737.0,1.0
g_mp[journaling x Crossover|TestInsertionProb],1.076,0.931,0.525,1.439,0.007,0.005,24668.0,15318.0,1.0
g_mp[lazy_import x Crossover|Pop],1.076,0.942,0.516,1.454,0.007,0.005,22895.0,16246.0,1.0
g_mp[cmd x ChangeParamProb|Pop],1.076,0.741,0.532,1.463,0.005,0.004,23125.0,17165.0,1.0
g_mp[lazy_import x RandPert|TestChangeProb],1.076,0.918,0.516,1.445,0.007,0.005,24162.0,17199.0,1.0
g_mp[pgzero_frontend x Pop|TestInsertProb],1.076,0.948,0.528,1.459,0.007,0.005,23971.0,16043.0,1.0
g_mp[dict_unpacking x RandPert|TourSize],1.076,0.796,0.512,1.425,0.006,0.004,23315.0,17031.0,1.0
g_mp[h_base x Crossover|TestInsertionProb],1.076,0.723,0.526,1.444,0.005,0.004,23703.0,17037.0,1.0
g_mp[packages x Elite|TestInsertionProb],1.076,0.92,0.524,1.452,0.007,0.005,23858.0,16846.0,1.0
g_mp[packages x Crossover|TestInsertionProb],1.076,0.836,0.528,1.463,0.006,0.005,24698.0,17045.0,1.0
g_mp[maybe x RandPert|TourSize],1.076,1.048,0.527,1.458,0.008,0.005,24554.0,16407.0,1.0
g_mp[immutable_list x RandPert|TourSize],1.076,0.755,0.554,1.459,0.006,0.004,22879.0,17011.0,1.0
g_mp[pgzero_frontend x Crossover|TestInsertProb],1.076,0.953,0.531,1.456,0.007,0.005,22689.0,17041.0,1.0
g_mp[signals x ChangeParamProb|TestInsertionProb],1.076,0.827,0.514,1.441,0.006,0.004,23143.0,16517.0,1.0
g_mp[python x Pop|RandPert],1.076,1.002,0.534,1.446,0.007,0.005,24419.0,16280.0,1.0
g_mp[py_helpers x ChromLen|TestInsertionProb],1.076,0.817,0.542,1.473,0.006,0.004,23976.0,15270.0,1.0
g_mp[maybe x Crossover|TestDeleteProb],1.076,0.808,0.558,1.484,0.006,0.004,23212.0,17520.0,1.0
g_mp[config x Pop|TourSize],1.076,0.887,0.498,1.448,0.007,0.005,23231.0,15967.0,1.0
g_mp[cmd x RandPert|TourSize],1.076,0.709,0.508,1.445,0.005,0.004,21806.0,16817.0,1.0
g_mp[h_base x TestChangeProb|TestDeleteProb],1.076,0.777,0.497,1.425,0.006,0.004,24131.0,16639.0,1.0
g_mp[s_helpers x TestInsertionProb|TourSize],1.076,0.691,0.51,1.443,0.005,0.004,22974.0,16431.0,1.0
g_mp[cmd x Crossover|TestDeleteProb],1.076,0.915,0.524,1.448,0.007,0.005,25115.0,17402.0,1.0
g_mp[signals x Pop|TestChangeProb],1.076,0.708,0.531,1.474,0.005,0.004,24685.0,16298.0,1.0
g_mp[packages x Crossover|TestDeleteProb],1.076,0.715,0.518,1.45,0.006,0.004,25763.0,16295.0,1.0
g_mp[config x Crossover|RandPert],1.076,0.673,0.524,1.464,0.005,0.004,23279.0,15747.0,1.0
g_mp[signals x ChromLen|RandPert],1.076,0.8,0.531,1.443,0.006,0.004,23291.0,16290.0,1.0
g_mp[da x RandPert|TestInsertProb],1.076,0.771,0.502,1.438,0.006,0.004,25315.0,16012.0,1.0
g_mp[py_base x RandPert|TestInsertProb],1.076,0.703,0.532,1.485,0.005,0.004,23927.0,16998.0,1.0
g_mp[decorators x TestChangeProb|TestInsertionProb],1.076,1.129,0.513,1.421,0.008,0.006,26267.0,16861.0,1.0
g_mp[py_base x ChangeParamProb|RandPert],1.077,0.917,0.53,1.454,0.007,0.005,23896.0,16589.0,1.0
g_mp[yield_from x ChromLen|Crossover],1.077,1.094,0.517,1.447,0.008,0.006,24677.0,16785.0,1.0
g_mp[da x ChangeParamProb|TourSize],1.077,0.74,0.532,1.476,0.006,0.004,27775.0,16720.0,1.0
g_mp[s_helpers x StatemInsertProb|TestInsertionProb],1.077,1.234,0.542,1.464,0.009,0.006,25058.0,16081.0,1.0
g_mp[maybe x Elite|TestChangeProb],1.077,1.311,0.525,1.461,0.01,0.007,25131.0,15719.0,1.0
g_mp[python x Pop|TestInsertionProb],1.077,0.805,0.521,1.448,0.006,0.004,25233.0,17004.0,1.0
g_mp[h_base x Pop|TestDeleteProb],1.077,0.844,0.522,1.436,0.006,0.004,23117.0,16450.0,1.0
g_mp[journaling x Elite|TestInsertionProb],1.077,0.781,0.543,1.461,0.006,0.004,24018.0,16290.0,1.0
g_mp[timer x Pop|RandPert],1.077,0.723,0.53,1.465,0.006,0.004,23962.0,16746.0,1.0
g_mp[journaling x ChangeParamProb|TestInsertionProb],1.077,0.849,0.561,1.494,0.006,0.004,24539.0,16202.0,1.0
g_mp[s_helpers x ChangeParamProb|TestInsertProb],1.077,0.988,0.534,1.463,0.007,0.005,23232.0,17417.0,1.0
g_mp[validation x ChromLen|Crossover],1.077,0.991,0.543,1.463,0.007,0.005,23014.0,17802.0,1.0
g_mp[timer x ChangeParamProb|StatemInsertProb],1.077,0.846,0.501,1.44,0.007,0.005,24775.0,16770.0,1.0
g_mp[h_base x StatemInsertProb|TestInsertionProb],1.077,0.885,0.515,1.422,0.007,0.005,24981.0,16554.0,1.0
g_mp[config x ChangeParamProb|TestInsertProb],1.077,0.713,0.514,1.44,0.005,0.004,22852.0,16174.0,1.0
g_mp[immutable_list x ChangeParamProb|TourSize],1.077,0.819,0.511,1.433,0.006,0.004,21896.0,16497.0,1.0
g_mp[py_helpers x TestChangeProb|TestDeleteProb],1.077,1.157,0.499,1.43,0.008,0.006,23440.0,16770.0,1.0
g_mp[yield_from x Elite|TestDeleteProb],1.077,0.887,0.514,1.438,0.006,0.005,23743.0,16869.0,1.0
g_mp[config x ChangeParamProb|RandPert],1.077,0.711,0.515,1.457,0.005,0.004,23313.0,15284.0,1.0
g_mp[immutable_list x ChangeParamProb|TestInsertProb],1.077,0.846,0.519,1.445,0.006,0.004,25255.0,16589.0,1.0
g_mp[signals x ChangeParamProb|TourSize],1.077,0.716,0.483,1.424,0.005,0.004,22637.0,16428.0,1.0
g_mp[py_base x Pop|TestInsertionProb],1.077,0.858,0.533,1.455,0.006,0.005,23184.0,17226.0,1.0
g_mp[namedtupleutils x ChangeParamProb|TestInsertionProb],1.077,0.984,0.517,1.45,0.007,0.005,24266.0,16344.0,1.0
g_mp[namedtupleutils x TestInsertProb|TourSize],1.077,0.756,0.531,1.456,0.006,0.004,22962.0,16409.0,1.0
g_mp[s_helpers x TestChangeProb|TestDeleteProb],1.077,0.724,0.521,1.451,0.006,0.004,22765.0,16915.0,1.0
g_mp[namedtupleutils x Pop|StatemInsertProb],1.077,0.764,0.531,1.451,0.006,0.004,24233.0,16735.0,1.0
g_mp[namedtupleutils x ChromLen|Crossover],1.077,0.656,0.551,1.499,0.005,0.003,25553.0,16840.0,1.0
g_mp[py_helpers x Elite|TestInsertProb],1.077,0.821,0.534,1.464,0.006,0.004,23980.0,16535.0,1.0
g_mp[namedtupleutils x Pop|TestDeleteProb],1.077,0.913,0.51,1.421,0.007,0.005,26224.0,16728.0,1.0
g_mp[cmd x Elite|TourSize],1.077,1.098,0.542,1.461,0.008,0.006,23208.0,17707.0,1.0
g_mp[validation x ChangeParamProb|TourSize],1.077,1.242,0.545,1.47,0.009,0.007,24391.0,16400.0,1.0
g_mp[journaling x Pop|TestDeleteProb],1.077,0.885,0.485,1.43,0.007,0.005,23953.0,16527.0,1.0
g_mp[signals x ChangeParamProb|TestChangeProb],1.077,0.812,0.54,1.468,0.006,0.005,22882.0,15778.0,1.0
g_mp[headers x Pop|RandPert],1.077,0.73,0.515,1.448,0.005,0.004,24941.0,16799.0,1.0
g_mp[pgzero_frontend x ChangeParamProb|RandPert],1.077,0.785,0.54,1.472,0.006,0.004,23544.0,16588.0,1.0
g_mp[headers x StatemInsertProb|TestInsertionProb],1.077,0.715,0.523,1.462,0.005,0.004,21204.0,16799.0,1.0
g_mp[python x ChromLen|TourSize],1.077,0.804,0.507,1.435,0.006,0.004,24098.0,16283.0,1.0
g_mp[journaling x ChangeParamProb|Pop],1.077,0.634,0.512,1.449,0.005,0.003,22575.0,15727.0,1.0
g_mp[h_base x RandPert|TestDeleteProb],1.077,0.75,0.521,1.446,0.006,0.004,23301.0,16311.0,1.0
g_mp[pgzero_frontend x RandPert|TestInsertionProb],1.077,0.926,0.56,1.48,0.007,0.005,22499.0,17076.0,1.0
g_mp[python x StatemInsertProb|TestDeleteProb],1.077,1.287,0.548,1.493,0.009,0.006,23503.0,17080.0,1.0
g_mp[packages x ChangeParamProb|Pop],1.077,1.039,0.529,1.445,0.008,0.005,23295.0,16830.0,1.0
g_mp[lazy_import x Crossover|TestInsertionProb],1.077,0.696,0.544,1.48,0.005,0.004,23921.0,17069.0,1.0
g_mp[da x ChangeParamProb|Pop],1.077,0.71,0.553,1.485,0.005,0.004,21555.0,17195.0,1.0
g_mp[return_from_generator x RandPert|TourSize],1.077,1.044,0.53,1.449,0.007,0.005,23817.0,16749.0,1.0
g_mp[namedtupleutils x Crossover|RandPert],1.077,1.406,0.511,1.426,0.01,0.007,22260.0,16844.0,1.0
g_mp[validation x RandPert|TourSize],1.077,1.033,0.526,1.443,0.009,0.006,25422.0,17550.0,1.0
g_mp[return_from_generator x RandPert|TestInsertProb],1.077,0.907,0.529,1.438,0.007,0.005,22553.0,17393.0,1.0
g_mp[lazy_import x RandPert|TourSize],1.077,0.96,0.528,1.454,0.007,0.005,24976.0,16038.0,1.0
g_mp[yield_from x StatemInsertProb|TestInsertProb],1.077,0.942,0.514,1.439,0.007,0.005,24362.0,16765.0,1.0
g_mp[immutable_list x Crossover|Pop],1.077,0.716,0.548,1.474,0.006,0.004,24323.0,16726.0,1.0
g_mp[maybe x Crossover|TourSize],1.077,0.747,0.518,1.439,0.006,0.004,23663.0,16773.0,1.0
g_mp[config x Crossover|TourSize],1.077,0.691,0.521,1.447,0.005,0.004,24330.0,16508.0,1.0
g_mp[signals x ChromLen|StatemInsertProb],1.077,0.695,0.544,1.478,0.005,0.004,21992.0,16348.0,1.0
g_mp[yield_from x TestChangeProb|TestInsertionProb],1.077,0.804,0.53,1.453,0.006,0.004,24314.0,16366.0,1.0
g_mp[maybe x TestDeleteProb|TestInsertionProb],1.077,0.905,0.55,1.47,0.007,0.005,24050.0,15875.0,1.0
g_mp[positional_validation x Crossover|RandPert],1.077,1.494,0.507,1.419,0.012,0.009,22528.0,16782.0,1.0
g_mp[immutable_list x RandPert|TestInsertProb],1.077,0.641,0.543,1.472,0.005,0.003,25253.0,17153.0,1.0
g_mp[da x ChromLen|TestDeleteProb],1.077,0.777,0.518,1.448,0.006,0.004,22971.0,15899.0,1.0
g_mp[h_base x ChangeParamProb|Elite],1.077,0.664,0.546,1.477,0.005,0.004,25807.0,16752.0,1.0
g_mp[pgzero_frontend x ChangeParamProb|Crossover],1.077,0.888,0.541,1.474,0.007,0.005,23407.0,16106.0,1.0
g_mp[decorators x RandPert|TestInsertProb],1.077,0.754,0.537,1.449,0.006,0.004,25452.0,15679.0,1.0
g_mp[py_base x ChangeParamProb|Elite],1.077,0.711,0.545,1.49,0.005,0.004,25216.0,17728.0,1.0
g_mp[pgzero_frontend x RandPert|TestDeleteProb],1.077,0.821,0.547,1.49,0.006,0.004,23246.0,17136.0,1.0
g_mp[packages x TestChangeProb|TestInsertionProb],1.077,1.04,0.542,1.465,0.008,0.005,25462.0,16339.0,1.0
g_mp[dict_unpacking x TestDeleteProb|TestInsertionProb],1.077,0.7,0.568,1.506,0.005,0.004,24141.0,16084.0,1.0
g_mp[signals x Pop|TourSize],1.077,0.914,0.518,1.431,0.007,0.005,24202.0,17031.0,1.0
g_mp[journaling x ChromLen|TestChangeProb],1.077,0.851,0.556,1.476,0.007,0.005,24019.0,17267.0,1.0
g_mp[da x ChromLen|TestChangeProb],1.077,0.685,0.527,1.463,0.005,0.004,23843.0,17065.0,1.0
g_mp[immutable_list x Crossover|TestInsertProb],1.077,0.783,0.551,1.462,0.006,0.004,23971.0,16011.0,1.0
g_mp[packages x TestInsertionProb|TourSize],1.077,0.975,0.524,1.475,0.007,0.005,24664.0,17037.0,1.0
g_mp[py_base x Crossover|StatemInsertProb],1.077,0.776,0.531,1.461,0.006,0.004,23675.0,16005.0,1.0
g_mp[cmd x ChromLen|TestChangeProb],1.077,0.726,0.528,1.461,0.005,0.004,22675.0,15847.0,1.0
g_mp[s_helpers x StatemInsertProb|TestDeleteProb],1.077,0.695,0.531,1.47,0.005,0.004,25287.0,16057.0,1.0
g_mp[py_base x RandPert|TestChangeProb],1.077,0.796,0.523,1.464,0.006,0.004,25834.0,15953.0,1.0
g_mp[journaling x RandPert|TestChangeProb],1.077,1.009,0.532,1.482,0.008,0.005,22175.0,16101.0,1.0
g_mp[namedtupleutils x Elite|Pop],1.077,0.796,0.508,1.431,0.006,0.004,26359.0,14933.0,1.0
g_mp[da x ChromLen|Pop],1.077,0.796,0.555,1.485,0.006,0.004,25915.0,16219.0,1.0
g_mp[yield_from x TestChangeProb|TestInsertProb],1.077,0.685,0.513,1.446,0.005,0.004,23730.0,16784.0,1.0
g_mp[timer x ChangeParamProb|RandPert],1.077,0.959,0.528,1.461,0.007,0.005,23016.0,16106.0,1.0
g_mp[yield_from x Crossover|Pop],1.077,0.668,0.531,1.472,0.005,0.003,23531.0,17672.0,1.0
g_mp[da x StatemInsertProb|TestDeleteProb],1.077,0.856,0.54,1.457,0.006,0.004,24359.0,16199.0,1.0
g_mp[timer x ChromLen|Pop],1.077,0.883,0.551,1.497,0.007,0.005,23061.0,16979.0,1.0
g_mp[h_base x Crossover|Elite],1.077,0.715,0.519,1.472,0.005,0.004,25785.0,17105.0,1.0
g_mp[config x StatemInsertProb|TestChangeProb],1.077,0.953,0.522,1.45,0.007,0.005,23426.0,16436.0,1.0
g_mp[immutable_list x ChromLen|Elite],1.077,1.125,0.515,1.433,0.008,0.006,23355.0,15625.0,1.0
g_mp[namedtupleutils x TestDeleteProb|TestInsertProb],1.077,0.838,0.512,1.444,0.006,0.004,24265.0,16782.0,1.0
g_mp[maybe x Elite|StatemInsertProb],1.077,0.72,0.505,1.447,0.005,0.004,24615.0,17161.0,1.0
g_mp[headers x ChangeParamProb|RandPert],1.077,0.846,0.514,1.437,0.007,0.005,23633.0,16278.0,1.0
g_mp[pgzero_frontend x Pop|TourSize],1.077,0.752,0.552,1.469,0.006,0.004,23526.0,16798.0,1.0
g_mp[headers x ChromLen|Elite],1.077,0.781,0.524,1.455,0.006,0.004,23720.0,16723.0,1.0
g_mp[validation x ChromLen|TourSize],1.077,0.696,0.499,1.434,0.005,0.004,25393.0,16310.0,1.0
g_mp[positional_validation x ChangeParamProb|Pop],1.077,0.906,0.486,1.417,0.007,0.005,23905.0,16357.0,1.0
g_mp[py_base x StatemInsertProb|TestDeleteProb],1.077,0.808,0.547,1.489,0.006,0.004,23436.0,17626.0,1.0
g_mp[dict_unpacking x TestChangeProb|TestInsertProb],1.077,0.733,0.533,1.467,0.006,0.004,26342.0,17446.0,1.0
g_mp[immutable_list x Crossover|TestChangeProb],1.077,0.743,0.511,1.438,0.006,0.004,26860.0,16165.0,1.0
g_mp[packages x Elite|RandPert],1.077,0.909,0.528,1.435,0.007,0.005,23233.0,16266.0,1.0
g_mp[timer x TestInsertionProb|TourSize],1.077,0.725,0.526,1.459,0.005,0.004,22636.0,15654.0,1.0
g_mp[journaling x TestDeleteProb|TestInsertProb],1.077,0.819,0.533,1.454,0.006,0.004,24683.0,16252.0,1.0
g_mp[s_helpers x ChromLen|Pop],1.077,0.715,0.52,1.453,0.006,0.004,23188.0,15792.0,1.0
g_mp[validation x Elite|Pop],1.077,1.07,0.506,1.44,0.008,0.005,23266.0,16282.0,1.0
g_mp[dict_unpacking x Crossover|Pop],1.077,0.644,0.548,1.469,0.005,0.003,25630.0,16744.0,1.0
g_mp[maybe x StatemInsertProb|TestInsertProb],1.077,0.962,0.521,1.429,0.007,0.005,23077.0,16856.0,1.0
g_mp[dict_unpacking x ChangeParamProb|ChromLen],1.077,1.367,0.551,1.488,0.01,0.007,25329.0,15518.0,1.0
g_mp[return_from_generator x ChangeParamProb|ChromLen],1.077,0.711,0.497,1.432,0.005,0.004,23350.0,15514.0,1.0
g_mp[pgzero_frontend x ChromLen|TestDeleteProb],1.078,0.726,0.539,1.48,0.006,0.004,25014.0,16547.0,1.0
g_mp[cmd x Crossover|TestChangeProb],1.078,1.06,0.515,1.457,0.008,0.006,23937.0,17068.0,1.0
g_mp[timer x TestChangeProb|TourSize],1.078,0.821,0.545,1.464,0.006,0.004,23545.0,17209.0,1.0
g_mp[py_helpers x Crossover|Pop],1.078,0.855,0.541,1.462,0.007,0.005,24671.0,17132.0,1.0
g_mp[immutable_list x ChangeParamProb|ChromLen],1.078,0.743,0.51,1.452,0.006,0.004,25085.0,14906.0,1.0
g_mp[return_from_generator x Pop|TestChangeProb],1.078,0.766,0.505,1.447,0.006,0.004,24033.0,16186.0,1.0
g_mp[py_base x StatemInsertProb|TourSize],1.078,0.714,0.533,1.449,0.005,0.004,25517.0,16443.0,1.0
g_mp[decorators x TestDeleteProb|TestInsertProb],1.078,0.988,0.526,1.456,0.007,0.005,24851.0,16445.0,1.0
g_mp[signals x ChangeParamProb|Crossover],1.078,0.987,0.53,1.462,0.008,0.005,24050.0,16638.0,1.0
g_mp[pgzero_frontend x Pop|StatemInsertProb],1.078,0.951,0.537,1.467,0.007,0.005,24090.0,17016.0,1.0
g_mp[validation x Pop|RandPert],1.078,1.155,0.479,1.426,0.008,0.006,23923.0,15995.0,1.0
g_mp[return_from_generator x ChromLen|TourSize],1.078,0.719,0.504,1.436,0.006,0.004,24389.0,16379.0,1.0
g_mp[py_base x Crossover|RandPert],1.078,1.198,0.505,1.441,0.009,0.006,23000.0,16646.0,1.0
g_mp[packages x StatemInsertProb|TourSize],1.078,0.71,0.538,1.469,0.005,0.004,23799.0,16420.0,1.0
g_mp[lazy_import x ChangeParamProb|TestInsertProb],1.078,0.727,0.515,1.459,0.006,0.004,22353.0,17060.0,1.0
g_mp[decorators x ChromLen|TourSize],1.078,0.814,0.555,1.478,0.006,0.004,24014.0,16942.0,1.0
g_mp[signals x TestInsertProb|TestInsertionProb],1.078,1.381,0.52,1.443,0.01,0.007,24893.0,16711.0,1.0
g_mp[decorators x Crossover|RandPert],1.078,0.888,0.568,1.497,0.007,0.005,25661.0,16107.0,1.0
g_mp[config x StatemInsertProb|TestDeleteProb],1.078,1.226,0.519,1.443,0.01,0.007,22903.0,16567.0,1.0
g_mp[lazy_import x TestDeleteProb|TestInsertProb],1.078,0.751,0.556,1.47,0.006,0.004,20670.0,16252.0,1.0
g_mp[cmd x Pop|RandPert],1.078,1.672,0.528,1.457,0.012,0.008,23988.0,17233.0,1.0
g_mp[h_base x Crossover|StatemInsertProb],1.078,0.82,0.531,1.464,0.006,0.004,25331.0,17300.0,1.0
g_mp[config x ChangeParamProb|ChromLen],1.078,0.994,0.529,1.449,0.008,0.005,23847.0,16179.0,1.0
g_mp[headers x Crossover|Elite],1.078,1.112,0.491,1.42,0.008,0.006,23604.0,15868.0,1.0
g_mp[return_from_generator x Crossover|StatemInsertProb],1.078,0.776,0.533,1.47,0.006,0.004,24442.0,17712.0,1.0
g_mp[da x Crossover|RandPert],1.078,0.669,0.523,1.457,0.005,0.004,23022.0,17334.0,1.0
g_mp[py_helpers x TestInsertionProb|TourSize],1.078,2.231,0.511,1.438,0.016,0.011,23543.0,16133.0,1.0
g_mp[timer x Crossover|Pop],1.078,0.97,0.568,1.497,0.007,0.005,26068.0,17147.0,1.0
g_mp[s_helpers x ChromLen|Crossover],1.078,0.827,0.522,1.445,0.006,0.004,23726.0,16015.0,1.0
g_mp[config x ChromLen|TestDeleteProb],1.078,0.807,0.53,1.468,0.006,0.004,23706.0,16337.0,1.0
g_mp[h_base x ChangeParamProb|TourSize],1.078,0.947,0.556,1.488,0.008,0.005,23549.0,16088.0,1.0
g_mp[py_helpers x Crossover|TestInsertionProb],1.078,0.93,0.502,1.442,0.007,0.005,23036.0,16635.0,1.0
g_mp[signals x Elite|TestInsertProb],1.078,0.767,0.545,1.465,0.006,0.004,24854.0,16548.0,1.0
g_mp[s_helpers x Elite|TestInsertProb],1.078,0.774,0.569,1.501,0.006,0.004,24381.0,17013.0,1.0
g_mp[return_from_generator x TestChangeProb|TestDeleteProb],1.078,0.834,0.53,1.458,0.006,0.004,23672.0,15981.0,1.0
g_mp[lazy_import x Elite|TestInsertProb],1.078,1.064,0.504,1.422,0.008,0.005,24260.0,16514.0,1.0
g_mp[positional_validation x Pop|TestInsertProb],1.078,0.875,0.568,1.496,0.007,0.005,24506.0,16108.0,1.0
g_mp[signals x Crossover|TestInsertionProb],1.078,0.952,0.545,1.453,0.007,0.005,25454.0,16477.0,1.0
